N,K,P,Zn,Mg,S,pH,Rainfall,Temperature,Humidity,Crop_Subcategory
2.9,3.3,1.8,0.2,1.1,0.4,6.7,615.2,27.3,75.9,Rice_Basmati
3.0,3.3,1.8,0.2,1.3,0.5,7.2,753.3,27.9,72.1,Rice_Basmati
2.8,3.4,2.5,0.6,1.0,0.6,6.7,645.0,25.7,75.2,Rice_Basmati
3.1,3.3,2.5,0.3,1.4,0.7,6.8,848.6,28.5,71.2,Rice_Basmati
2.9,3.4,2.2,0.5,1.4,0.7,6.9,813.9,28.0,67.9,Rice_Basmati
2.7,2.8,1.8,0.5,1.5,0.4,7.2,631.4,24.3,65.0,Rice_Basmati
3.1,3.2,2.4,0.5,1.3,0.4,7.0,848.5,23.9,65.7,Rice_Basmati
2.5,3.4,1.8,0.3,1.2,0.5,6.2,803.1,23.7,66.2,Rice_Basmati
2.9,2.6,2.4,0.4,1.2,0.8,7.1,711.7,23.3,70.7,Rice_Basmati
3.2,3.4,2.4,0.4,1.3,0.7,7.0,710.1,26.8,76.3,Rice_Basmati
2.6,3.4,2.1,0.3,1.4,0.5,6.7,778.4,26.6,75.2,Rice_Basmati
2.7,2.6,1.8,0.2,1.5,0.4,7.2,686.8,25.1,73.1,Rice_Basmati
3.2,2.7,1.8,0.3,1.3,0.4,7.0,760.7,26.7,74.1,Rice_Basmati
2.9,3.2,1.9,0.4,1.0,0.3,6.9,726.9,24.2,71.7,Rice_Basmati
2.6,3.1,1.7,0.5,1.2,0.6,6.9,700.4,26.3,73.5,Rice_Basmati
3.0,3.1,2.3,0.2,1.3,0.3,6.8,812.8,24.9,67.4,Rice_Basmati
3.0,3.5,1.7,0.5,1.2,0.3,6.5,837.7,27.7,73.0,Rice_Basmati
2.6,2.8,2.0,0.3,1.5,0.3,6.9,714.6,27.4,67.2,Rice_Basmati
2.6,2.7,2.4,0.3,1.1,0.6,6.4,751.1,23.8,66.5,Rice_Basmati
2.9,2.9,2.1,0.5,1.1,0.4,6.7,683.3,27.9,75.3,Rice_Basmati
3.2,2.8,1.9,0.4,1.0,0.5,6.3,646.1,23.6,66.1,Rice_Basmati
2.9,3.4,2.2,0.3,1.5,0.4,6.7,606.9,24.0,78.6,Rice_Basmati
2.7,2.7,1.8,0.5,1.2,0.6,6.2,736.2,24.7,73.2,Rice_Basmati
2.7,2.7,2.2,0.3,1.4,0.4,6.5,827.0,25.6,78.4,Rice_Basmati
2.5,3.1,2.0,0.6,1.2,0.7,6.6,716.4,29.1,76.7,Rice_Basmati
2.9,3.1,2.1,0.5,1.2,0.6,7.0,668.3,26.3,66.9,Rice_Basmati
2.6,2.8,1.9,0.2,1.4,0.3,6.6,704.0,29.7,69.6,Rice_Basmati
2.9,2.7,1.9,0.2,1.1,0.5,6.7,673.9,24.0,75.4,Rice_Basmati
2.5,3.1,2.4,0.4,1.3,0.4,7.2,737.8,27.8,79.4,Rice_Basmati
3.1,2.5,1.7,0.6,1.2,0.5,6.9,811.7,29.6,70.6,Rice_Basmati
2.6,2.8,2.1,0.2,1.5,0.6,6.9,722.4,29.4,75.7,Rice_Basmati
3.0,3.4,1.8,0.6,1.2,0.8,6.3,665.5,28.7,73.2,Rice_Basmati
3.2,2.8,2.4,0.4,1.4,0.6,6.6,804.8,29.1,73.6,Rice_Basmati
2.6,2.8,1.7,0.4,1.4,0.4,6.3,681.7,24.7,74.5,Rice_Basmati
3.2,2.8,2.2,0.3,1.1,0.4,7.0,650.2,27.7,65.6,Rice_Basmati
2.6,2.9,1.7,0.6,1.1,0.8,6.2,677.9,26.5,70.3,Rice_Basmati
3.0,3.1,1.6,0.4,1.4,0.5,6.3,617.4,28.3,72.3,Rice_Basmati
2.7,3.0,2.3,0.5,1.4,0.7,7.0,623.8,26.0,76.8,Rice_Basmati
2.8,2.8,2.5,0.4,1.2,0.4,6.6,634.9,29.3,73.7,Rice_Basmati
2.6,2.7,2.4,0.3,1.1,0.5,6.4,839.5,23.9,75.3,Rice_Basmati
3.2,3.2,2.2,0.6,1.5,0.5,7.0,633.3,24.3,77.1,Rice_Basmati
2.7,3.5,2.5,0.3,1.6,0.8,6.7,720.5,23.1,74.1,Rice_Basmati
2.5,2.6,1.7,0.4,1.2,0.7,6.7,835.6,26.8,79.7,Rice_Basmati
2.8,3.2,2.2,0.3,1.2,0.6,6.5,679.2,28.4,76.6,Rice_Basmati
3.0,2.6,2.0,0.6,1.6,0.5,7.1,631.8,28.5,68.3,Rice_Basmati
2.5,3.4,1.8,0.4,1.1,0.8,6.6,602.2,28.6,67.3,Rice_Basmati
2.8,3.4,1.6,0.3,1.3,0.5,6.4,777.0,24.3,71.5,Rice_Basmati
2.7,3.0,2.4,0.6,1.1,0.6,6.6,663.2,27.9,79.1,Rice_Basmati
3.0,3.3,2.2,0.6,1.2,0.7,7.1,769.2,23.1,73.0,Rice_Samba
2.9,2.5,2.1,0.2,1.3,0.6,7.1,830.9,24.9,71.0,Rice_Samba
2.9,2.5,1.8,0.5,1.5,0.7,6.5,841.8,24.2,67.1,Rice_Samba
2.7,3.4,2.4,0.4,1.0,0.5,6.4,605.0,25.9,76.2,Rice_Samba
3.0,3.4,2.0,0.3,1.2,0.8,7.1,640.9,27.3,79.5,Rice_Samba
3.1,3.0,1.7,0.2,1.6,0.5,6.6,762.4,24.5,66.7,Rice_Samba
2.7,3.5,1.7,0.5,1.5,0.6,6.3,697.0,28.6,79.4,Rice_Samba
2.6,2.7,2.3,0.2,1.2,0.3,6.6,830.7,26.9,67.5,Rice_Samba
2.7,2.9,2.1,0.2,1.1,0.5,6.7,802.6,23.5,75.1,Rice_Samba
3.1,2.7,2.1,0.4,1.4,0.6,6.7,759.5,24.1,65.9,Rice_Samba
3.0,3.0,1.7,0.3,1.1,0.3,7.0,620.7,26.1,68.4,Rice_Samba
2.9,2.9,1.6,0.5,1.5,0.7,6.8,809.5,28.5,70.9,Rice_Samba
2.6,2.7,1.9,0.2,1.5,0.5,6.4,799.8,27.7,72.7,Rice_Samba
3.0,2.8,1.8,0.4,1.6,0.4,7.0,632.4,24.8,72.0,Rice_Samba
2.5,3.2,1.6,0.3,1.2,0.5,6.4,758.9,23.5,72.7,Rice_Samba
2.6,3.0,1.7,0.4,1.0,0.8,6.7,812.6,27.9,71.2,Rice_Samba
2.9,3.2,1.8,0.3,1.1,0.7,6.3,849.5,27.0,66.5,Rice_Samba
2.7,2.8,2.0,0.5,1.1,0.3,7.1,727.4,27.0,72.7,Rice_Samba
3.1,2.8,1.7,0.5,1.1,0.8,6.6,710.2,28.5,71.9,Rice_Samba
2.9,2.7,1.8,0.3,1.3,0.5,6.5,618.4,26.8,67.6,Rice_Samba
2.8,2.7,1.7,0.6,1.1,0.7,6.2,624.1,27.2,78.6,Rice_Samba
3.1,2.5,1.6,0.5,1.3,0.7,6.6,745.9,24.2,79.8,Rice_Samba
2.8,3.1,2.1,0.6,1.1,0.7,6.6,782.6,26.3,73.9,Rice_Samba
2.7,2.9,2.1,0.6,1.2,0.6,6.3,678.3,24.4,73.1,Rice_Samba
3.2,3.3,2.2,0.3,1.4,0.8,7.0,680.2,29.1,69.4,Rice_Samba
3.0,2.6,1.7,0.4,1.3,0.8,6.9,780.2,24.6,71.7,Rice_Samba
3.0,3.2,2.4,0.5,1.6,0.5,6.7,722.2,23.6,79.2,Rice_Samba
2.6,3.1,1.9,0.5,1.3,0.7,6.6,605.7,23.8,73.4,Rice_Samba
2.5,3.4,2.3,0.4,1.5,0.5,6.8,633.3,26.5,74.1,Rice_Samba
3.2,3.5,2.3,0.2,1.0,0.7,6.3,839.6,24.5,66.5,Rice_Samba
2.5,3.0,2.3,0.6,1.1,0.8,7.0,683.7,27.6,75.5,Rice_Samba
2.6,3.4,1.9,0.3,1.2,0.3,7.2,759.8,25.3,75.0,Rice_Samba
2.8,2.9,1.8,0.3,1.5,0.3,7.2,830.0,26.9,74.2,Rice_Samba
2.7,2.6,2.0,0.6,1.2,0.8,6.7,837.8,27.5,71.7,Rice_Samba
2.7,2.5,2.1,0.3,1.3,0.4,6.4,808.4,29.0,77.9,Rice_Samba
2.7,2.6,2.1,0.5,1.2,0.7,6.6,781.2,28.3,77.8,Rice_Samba
2.7,3.5,2.5,0.3,1.3,0.4,6.9,630.5,25.4,66.6,Rice_Samba
3.1,3.5,1.9,0.5,1.5,0.6,7.0,830.3,23.5,75.1,Rice_Samba
2.6,2.7,1.9,0.5,1.0,0.4,6.5,806.6,25.9,68.2,Rice_Samba
2.6,2.9,2.4,0.5,1.4,0.4,6.5,711.7,25.3,68.0,Rice_Samba
3.2,3.4,1.6,0.4,1.4,0.8,6.4,630.8,24.4,75.6,Rice_Samba
2.6,2.7,2.1,0.4,1.2,0.6,6.2,622.5,26.6,73.7,Rice_Samba
2.6,2.5,2.2,0.4,1.3,0.7,6.3,661.2,24.5,70.3,Rice_Samba
2.5,3.4,1.8,0.5,1.6,0.7,6.9,683.9,28.6,66.7,Rice_Samba
2.9,2.9,1.8,0.4,1.4,0.7,6.9,615.5,24.5,70.4,Rice_Samba
3.1,2.7,2.1,0.3,1.6,0.3,7.0,751.2,24.8,71.7,Rice_Samba
3.2,3.4,1.8,0.4,1.1,0.4,6.6,745.2,27.1,72.3,Rice_Samba
2.7,2.9,2.0,0.3,1.6,0.5,7.1,815.2,23.0,78.1,Rice_Samba
2.5,2.9,2.1,0.4,1.1,0.5,6.6,655.6,26.4,76.4,Rice_Samba
2.5,3.0,1.6,0.3,1.2,0.5,6.7,697.0,24.7,65.4,Rice_Samba
3.1,3.2,2.5,0.3,1.3,0.7,7.1,781.5,24.3,74.4,Rice_Samba
2.5,2.7,1.6,0.6,1.5,0.6,7.0,835.4,28.4,68.1,Rice_Samba
3.0,2.9,1.7,0.3,1.3,0.3,6.5,717.8,29.0,65.7,Rice_Samba
2.6,2.9,2.1,0.5,1.2,0.7,7.1,635.2,25.4,65.8,Rice_Samba
2.7,3.2,2.3,0.3,1.3,0.6,6.4,825.9,29.9,78.8,Rice_Samba
3.1,2.6,1.9,0.4,1.2,0.3,6.4,717.1,25.9,77.5,Rice_Samba
3.1,3.3,2.3,0.5,1.6,0.6,6.2,778.0,29.5,70.7,Rice_Samba
2.7,3.5,2.5,0.4,1.5,0.5,6.6,623.0,24.0,73.1,Rice_Samba
2.5,3.2,2.3,0.5,1.3,0.7,6.8,685.7,27.2,70.7,Rice_Samba
2.9,2.5,1.5,0.5,1.1,0.4,6.2,641.0,24.0,73.7,Rice_Samba
2.8,3.4,2.1,0.4,1.1,0.8,6.3,634.5,23.6,67.5,Rice_Samba
3.1,3.4,1.9,0.3,1.5,0.4,6.6,600.9,23.3,69.4,Rice_Samba
2.8,3.4,2.3,0.5,1.2,0.5,6.8,705.7,28.6,66.5,Rice_Samba
3.1,2.7,2.4,0.3,1.3,0.6,6.5,754.7,24.9,74.2,Rice_Samba
2.8,2.8,2.1,0.5,1.3,0.5,6.2,796.6,28.1,74.2,Rice_Samba
2.8,3.1,2.3,0.2,1.5,0.5,6.8,715.1,25.0,73.8,Rice_Samba
3.0,2.9,1.7,0.3,1.5,0.7,7.1,736.4,28.8,76.4,Rice_Samba
2.7,3.4,1.6,0.3,1.2,0.7,6.2,794.4,25.1,65.5,Rice_Samba
3.1,2.9,1.9,0.6,1.2,0.5,6.9,711.4,26.1,67.2,Rice_Samba
3.1,3.0,2.1,0.4,1.2,0.5,6.3,748.8,28.6,72.7,Rice_Samba
2.8,3.3,1.9,0.2,1.4,0.7,6.6,605.4,24.4,68.7,Rice_Samba
3.0,2.5,1.6,0.3,1.4,0.4,6.9,764.7,27.4,66.3,Rice_Samba
3.2,3.2,1.7,0.6,1.3,0.4,6.9,666.6,29.0,74.0,Rice_Samba
2.5,2.7,1.6,0.6,1.1,0.6,7.0,685.7,26.1,77.5,Rice_Samba
2.8,2.6,2.5,0.5,1.3,0.7,6.7,800.1,27.8,72.1,Rice_Samba
2.8,3.3,2.2,0.3,1.3,0.4,6.5,632.9,23.1,72.2,Rice_Samba
2.8,3.2,2.0,0.5,1.1,0.5,6.9,611.2,29.0,65.8,Rice_Samba
3.1,2.8,2.4,0.3,1.2,0.3,6.9,847.0,27.4,70.8,Rice_Samba
2.7,2.6,2.1,0.4,1.2,0.3,6.7,784.9,24.6,71.2,Rice_Samba
3.0,2.5,1.5,0.4,1.1,0.6,6.9,643.8,25.7,70.2,Rice_Samba
2.8,3.2,1.8,0.6,1.6,0.6,6.9,824.8,29.5,73.4,Rice_Samba
2.8,3.5,1.9,0.3,1.1,0.3,6.8,837.0,25.3,65.7,Rice_Samba
2.5,2.7,1.9,0.6,1.1,0.5,6.9,687.3,24.1,73.6,Rice_Samba
2.9,3.3,1.8,0.4,1.3,0.5,6.5,770.0,23.5,76.9,Rice_Samba
2.6,3.1,2.2,0.5,1.4,0.3,6.5,768.6,24.4,77.4,Rice_Samba
3.0,3.3,2.2,0.3,1.6,0.5,6.6,765.2,26.7,73.6,Rice_Samba
3.0,2.7,1.7,0.4,1.5,0.7,6.3,666.4,28.2,78.3,Rice_Samba
2.9,3.1,1.7,0.6,1.6,0.5,6.8,792.2,26.3,70.2,Rice_Samba
3.1,2.7,1.7,0.4,1.5,0.4,6.4,676.6,24.1,65.3,Rice_Samba
3.0,3.1,1.9,0.4,1.3,0.5,6.3,849.9,29.4,69.0,Rice_Samba
2.6,2.7,1.8,0.6,1.4,0.3,6.8,824.6,23.4,74.3,Rice_Samba
2.5,2.7,1.6,0.4,1.2,0.5,6.5,729.4,29.7,67.1,Rice_Samba
3.0,2.7,2.0,0.3,1.6,0.7,6.6,751.3,26.4,67.0,Rice_Samba
2.5,3.1,2.0,0.3,1.2,0.7,6.3,721.6,23.7,66.3,Rice_Samba
3.0,3.3,2.4,0.5,1.2,0.5,6.6,667.3,27.8,68.7,Rice_Samba
3.1,2.6,2.4,0.2,1.3,0.6,6.9,813.9,23.2,69.8,Rice_Samba
3.1,2.8,1.6,0.6,1.5,0.7,6.2,766.8,25.6,76.0,Rice_Samba
2.9,3.4,1.9,0.4,1.3,0.4,7.0,827.8,24.9,65.1,Rice_Samba
3.0,2.7,2.0,0.3,1.1,0.4,6.6,695.5,27.9,77.6,Rice_Samba
2.6,3.2,1.8,0.3,1.2,0.7,6.7,719.0,29.8,67.2,Rice_Samba
2.5,3.1,2.2,0.5,1.5,0.7,6.2,813.0,28.5,77.8,Rice_Ponni
2.7,3.0,2.0,0.6,1.5,0.3,6.4,828.9,26.1,79.4,Rice_Ponni
3.0,2.8,1.7,0.6,1.4,0.8,6.3,787.6,25.9,73.2,Rice_Ponni
2.8,3.0,2.1,0.4,1.2,0.4,7.1,732.5,23.7,73.6,Rice_Ponni
2.7,3.1,1.9,0.4,1.5,0.4,7.1,629.0,26.1,67.2,Rice_Ponni
3.0,2.6,2.4,0.4,1.5,0.7,6.3,802.6,24.1,72.4,Rice_Ponni
3.2,3.4,1.5,0.6,1.4,0.5,6.6,660.7,23.4,68.8,Rice_Ponni
2.8,3.3,2.4,0.2,1.1,0.4,6.2,703.3,29.9,79.6,Rice_Ponni
2.7,2.7,2.2,0.5,1.5,0.3,6.8,668.6,29.8,76.0,Rice_Ponni
2.9,3.2,1.5,0.5,1.3,0.4,6.6,634.6,23.7,72.6,Rice_Ponni
3.0,3.1,2.3,0.4,1.1,0.7,6.6,602.8,26.8,72.0,Rice_Ponni
2.6,2.8,2.2,0.5,1.5,0.6,7.0,848.3,25.8,67.3,Rice_Ponni
2.8,3.2,2.2,0.3,1.0,0.7,7.1,711.4,29.6,68.0,Rice_Ponni
3.0,2.8,2.2,0.3,1.1,0.5,7.1,693.7,29.4,76.5,Rice_Ponni
3.1,2.8,2.2,0.6,1.2,0.5,6.7,756.7,24.2,69.9,Rice_Ponni
2.8,2.5,2.2,0.4,1.3,0.7,6.4,648.5,23.4,73.0,Rice_Ponni
3.2,3.5,1.7,0.2,1.3,0.5,7.1,687.6,29.6,70.8,Rice_Ponni
2.7,3.2,2.5,0.3,1.1,0.5,6.3,666.0,28.5,67.4,Rice_Ponni
2.6,3.4,1.6,0.3,1.6,0.5,7.0,814.8,27.7,66.8,Rice_Ponni
2.9,2.6,1.8,0.4,1.4,0.3,6.4,616.0,28.0,79.4,Rice_Ponni
2.6,3.3,2.5,0.5,1.5,0.3,6.8,837.4,27.0,66.1,Rice_Ponni
2.8,3.0,2.2,0.5,1.5,0.7,6.6,650.8,26.6,66.9,Rice_Ponni
2.9,2.9,1.8,0.4,1.1,0.7,6.2,771.5,28.7,67.0,Rice_Ponni
2.5,3.0,1.8,0.4,1.2,0.6,6.9,793.8,28.3,79.3,Rice_Ponni
2.9,2.6,1.6,0.5,1.5,0.5,6.8,725.5,26.3,68.3,Rice_Ponni
3.2,2.9,1.9,0.3,1.5,0.8,6.5,841.4,23.2,71.3,Rice_Ponni
2.9,3.1,2.5,0.2,1.0,0.3,6.8,710.4,27.3,70.4,Rice_Ponni
2.9,3.1,1.9,0.3,1.5,0.6,6.7,787.9,27.6,71.0,Rice_Ponni
2.6,3.5,2.4,0.6,1.0,0.6,7.0,725.8,27.8,79.9,Rice_Ponni
2.6,2.7,2.0,0.4,1.2,0.4,6.3,782.8,25.6,78.8,Rice_Ponni
3.2,2.9,2.4,0.3,1.5,0.8,7.2,601.3,26.6,69.7,Rice_Ponni
3.1,3.0,2.3,0.3,1.4,0.7,6.9,689.4,23.3,75.1,Rice_Ponni
2.5,2.8,2.1,0.6,1.2,0.4,6.3,603.4,25.3,69.5,Rice_Ponni
2.6,2.8,2.3,0.4,1.0,0.4,6.8,684.5,23.8,76.9,Rice_Ponni
2.8,3.2,1.8,0.4,1.4,0.6,6.6,801.7,26.5,67.4,Rice_Ponni
3.2,2.7,1.9,0.6,1.0,0.5,7.1,685.1,26.3,66.0,Rice_Ponni
3.0,2.9,2.0,0.4,1.4,0.7,6.9,623.3,25.1,75.2,Rice_Ponni
2.8,2.7,1.8,0.3,1.2,0.5,6.3,617.1,23.7,66.8,Rice_Ponni
2.6,3.5,2.4,0.2,1.4,0.7,6.4,653.1,27.1,70.1,Rice_Ponni
2.7,2.9,2.0,0.5,1.1,0.4,6.5,625.6,23.3,77.2,Rice_Ponni
2.7,3.3,1.7,0.6,1.5,0.4,6.6,838.0,23.9,67.1,Rice_Ponni
2.7,3.0,2.2,0.2,1.1,0.5,7.1,788.7,29.2,68.7,Rice_Ponni
3.2,3.0,2.2,0.6,1.5,0.6,6.8,777.5,26.8,74.5,Rice_Ponni
2.6,2.9,2.0,0.3,1.6,0.4,7.0,625.1,28.4,70.2,Rice_Ponni
2.9,3.2,1.7,0.6,1.1,0.5,7.2,706.9,27.1,72.0,Rice_Ponni
3.2,3.1,2.1,0.5,1.1,0.3,6.9,789.8,24.7,65.9,Rice_Ponni
2.7,2.5,2.4,0.3,1.2,0.4,6.7,757.9,28.2,73.9,Rice_Ponni
2.6,3.1,2.2,0.3,1.0,0.3,6.3,645.0,28.3,74.6,Rice_Ponni
2.8,3.0,2.2,0.4,1.5,0.3,7.1,611.5,28.0,78.4,Rice_Ponni
2.9,2.5,1.8,0.4,1.2,0.4,6.9,765.5,27.2,80.0,Rice_Ponni
2.9,2.7,1.9,0.5,1.0,0.7,6.8,675.9,26.8,76.1,Rice_Ponni
2.6,3.2,2.1,0.5,1.1,0.5,6.6,787.2,25.6,65.3,Rice_Ponni
2.9,2.8,2.2,0.5,1.6,0.4,6.5,665.3,27.9,65.9,Rice_Ponni
2.7,3.5,1.7,0.5,1.0,0.8,6.4,662.7,25.5,67.2,Rice_Ponni
2.7,3.2,1.9,0.4,1.3,0.5,7.2,631.3,26.1,70.8,Rice_Ponni
2.9,3.4,2.2,0.5,1.5,0.3,7.1,636.0,24.0,66.5,Rice_Ponni
2.7,2.6,2.3,0.5,1.3,0.4,6.5,709.9,25.4,73.0,Rice_Ponni
3.1,2.7,1.6,0.6,1.2,0.6,6.5,694.6,25.8,72.5,Rice_Ponni
2.6,3.3,1.9,0.3,1.4,0.3,7.1,655.3,28.2,74.9,Rice_Ponni
3.1,3.3,2.4,0.2,1.6,0.8,6.5,731.6,28.2,75.9,Rice_Ponni
2.9,2.8,1.7,0.3,1.3,0.6,7.1,796.7,26.8,78.7,Rice_Ponni
2.8,2.9,2.2,0.6,1.2,0.6,6.9,747.0,25.4,72.4,Rice_Ponni
2.6,2.8,2.2,0.5,1.5,0.4,6.3,675.6,29.1,70.0,Rice_Ponni
3.1,2.7,2.3,0.5,1.4,0.4,6.3,778.1,24.8,78.5,Rice_Ponni
2.9,3.2,1.5,0.4,1.1,0.6,6.5,670.7,28.0,70.7,Rice_Ponni
3.1,3.1,2.0,0.3,1.2,0.6,6.3,618.6,27.1,76.5,Rice_Ponni
2.9,3.3,2.2,0.6,1.6,0.7,7.0,718.9,29.1,71.5,Rice_Ponni
2.6,2.9,1.9,0.4,1.3,0.4,6.4,720.3,23.2,65.0,Rice_Ponni
3.1,3.0,1.9,0.4,1.2,0.6,7.2,773.1,28.8,65.7,Rice_Ponni
2.9,2.6,2.1,0.3,1.4,0.7,6.8,633.1,28.7,67.5,Rice_Ponni
2.8,3.4,2.4,0.3,1.5,0.5,7.1,837.6,25.3,74.6,Rice_Ponni
2.6,2.6,1.7,0.3,1.5,0.5,7.1,689.7,23.8,73.3,Rice_Ponni
2.6,2.8,1.5,0.5,1.1,0.4,6.6,774.8,28.1,67.2,Rice_Ponni
2.6,3.2,1.8,0.6,1.1,0.4,6.6,770.4,28.9,78.7,Rice_Ponni
3.0,2.7,2.4,0.2,1.1,0.4,6.3,682.5,25.5,77.4,Rice_Ponni
3.1,3.0,1.6,0.4,1.5,0.8,6.4,681.5,28.6,67.5,Rice_Ponni
2.7,3.3,2.1,0.6,1.5,0.4,6.6,798.1,28.0,70.6,Rice_Ponni
2.6,3.1,1.6,0.4,1.5,0.4,6.7,757.6,25.7,70.9,Rice_Ponni
3.0,3.0,2.2,0.6,1.1,0.8,6.8,677.8,28.0,74.3,Rice_Ponni
2.6,3.2,1.6,0.4,1.4,0.8,6.3,601.6,28.7,68.2,Rice_Ponni
2.7,3.0,2.2,0.6,1.1,0.4,6.5,807.8,27.2,65.9,Rice_Ponni
2.7,2.7,1.5,0.3,1.4,0.5,6.6,683.4,27.4,72.5,Rice_Ponni
3.1,3.2,1.6,0.4,1.5,0.4,6.6,811.6,23.3,66.4,Rice_Ponni
3.2,2.8,2.4,0.4,1.1,0.6,6.4,736.2,29.1,75.3,Rice_Ponni
3.0,2.9,1.9,0.2,1.0,0.6,6.8,630.4,30.0,66.1,Rice_Ponni
